id,source,url,title_raw,title_norm,org_name,location,description_clean,processed_at
47,sqlite_baseline,https://www.brightermonday.co.ke/listings/medical-billing-specialist-xpzjez,MEDICAL BILLING SPECIALIST,medical billing specialist,Unknown,Nairobi,"MEDICAL BILLING SPECIALIST


                            Databand Consultants Limited
                        



                            Accounting, Auditing & Finance
                        



                            Nairobi
                        

                            Full Time
                        



                            Healthcare
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        The Medical Billing Specialist is responsible for managing the entire billing process, ensuring accurate submission of claims and maximizing reimbursements from insurance companies and patients. This role involves",2026-01-25T17:08:34.915537
48,sqlite_baseline,https://www.brightermonday.co.ke/listings/medical-administrative-assistant-r80z45,MEDICAL ADMINISTRATIVE ASSISTANT.,medical administrative assistant.,Unknown,Nairobi,"MEDICAL ADMINISTRATIVE ASSISTANT.


                            Databand Consultants Limited
                        



                            Admin & Office
                        



                            Nairobi
                        

                            Full Time
                        



                            Healthcare
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        The Medical Administrative Assistant provides essential administrative support to healthcare facilities, ensuring the smooth and efficient operation of office tasks. This position is responsible for supporting other office",2026-01-25T17:08:34.995906
49,sqlite_baseline,https://www.brightermonday.co.ke/listings/operational-team-leaders-otl-wpjg8m,Cleaning Supervisor,cleaning supervisor,Unknown,Nairobi,"Cleaning Supervisor


                            NABS RECRUITMENT CONSULT
                        



                            Trades & Services
                        



                            Outside Kenya
                        

                            Full Time
                        



                            Recruitment
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        We're Hiring for Qatar. To work in Hamad Airport
                    


Minimum Qualification
                                    :
Unspecified


Experience Level
                                    :
Mid level


Experience Length",2026-01-25T17:08:35.037774
50,sqlite_baseline,https://www.brightermonday.co.ke/listings/human-resource-and-administrative-assistant-9jw5wp,HUMAN RESOURCE AND ADMINISTRATIVE ASSISTANT,human resource and administrative assistant,Unknown,Nairobi,"Skills Assessment
                            















HUMAN RESOURCE AND ADMINISTRATIVE ASSISTANT


                            All Africa Conference of Churches (AACC)
                        



                            Human Resources
                        



                            Nairobi
                        

                            Full Time
                        



                            NGO, NPO & Charity
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            










25 - 45min skills assessment  -  Learn More
                



                        Job Summary
                    

                        The Human Resource and Administrative Assistant will assis",2026-01-25T17:08:35.078244
51,sqlite_baseline,https://www.brightermonday.co.ke/listings/relationship-officer-zpezek,Relationship Officer,relationship officer,Unknown,Nairobi,"Relationship Officer


                            TML Credit
                        



                            Customer Service & Support
                        



                            Nairobi
                        

                            Full Time
                        



                            Banking, Finance & Insurance
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        TML Ltd. is seeking a dynamic and customer-focused Relationship Officer to join our team. The role involves managing client relationships, promoting financial products, and ensuring customer satisfaction. As a Relationship ",2026-01-25T17:08:35.110669
52,sqlite_baseline,https://www.brightermonday.co.ke/listings/communications-officer-ev292z,COMMUNICATIONS OFFICER,communications specialist,Unknown,Nairobi,"COMMUNICATIONS OFFICER


                            African Population and Health Research Center (APHRC)
                        



                            Marketing & Communications
                        



                            Nairobi
                        

                            Full Time
                        



                            NGO, NPO & Charity
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        CARTA seeks to recruit a Program Communications Officer to drive the program’s communication initiatives. The ideal candidate should be a self-starter who thinks creatively and strategical",2026-01-25T17:08:35.148246
53,sqlite_baseline,https://www.brightermonday.co.ke/listings/chief-engineer-for-tractors-and-agricfulture-equipment-079pqm,Chief Engineer for tractors and agricfulture equipment,chief engineer for tractors and agricfulture equipment,Unknown,Nairobi,"Chief Engineer for tractors and agricfulture equipment


                            Avagrow Farming
                        



                            Engineering & Technology
                        



                            Outside Kenya
                        

                            Part Time
                        



                            Agriculture, Fishing & Forestry
                        

                                                            USD
                                                        
                                1000 - 1500
                            






 

                            Easy Apply
                        






                        New
                        





                2 days ago
            



                        Job Summary
                    

                        Avagrow Farming, a large international company with years of experience in the agricultural sector, is seeking a h",2026-01-25T17:08:35.184609
54,sqlite_baseline,https://www.brightermonday.co.ke/listings/housekeeping-officer-evprgd,Housekeeping Officer,housekeeping officer,Unknown,Nairobi,"Housekeeping Officer


                            Diaspora Design Build Ltd
                        



                            Hospitality & Leisure
                        



                            Outside Kenya
                        

                            Full Time
                        



                            Hospitality & Hotel
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        The successful candidate will be responsible for ensuring the cleanliness, hygiene, and overall maintenance of our serviced apartments, ensuring that guests enjoy a comfortable and satisfying stay.
                  ",2026-01-25T17:08:35.217623
55,sqlite_baseline,https://www.brightermonday.co.ke/listings/food-runner-and-butcher-5drpgr,"Food Runner and Butcher - Laiser Hill Rongai, Kajiado County","food runner and butcher - laiser hill rongai, kajiado county",Unknown,Nairobi,"Food Runner and Butcher - Laiser Hill Rongai, Kajiado County


                            Evolution Hospitality
                        



                            Hospitality & Leisure
                        



                            Nairobi
                        

                            Full Time
                        



                            Hospitality & Hotel
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        We are seeking a versatile Food Runner and Butcher who will contribute to both the front-of-house and kitchen operations. The ideal candidate will efficiently deliver food, assist with k",2026-01-25T17:08:35.257901
56,sqlite_baseline,https://www.brightermonday.co.ke/listings/costing-efficiency-manager-outskirts-of-nairobi-4nr84z,Costing & Efficiency Manager (Outskirts of Nairobi),costing & efficiency manager (outskirts of nairobi),Unknown,Nairobi,"Costing & Efficiency Manager (Outskirts of Nairobi)


                            Human Capital Solution Services (HCSS)
                        



                            Quality Control & Assurance
                        



                            Nairobi
                        

                            Full Time
                        



                            Retail, Fashion & FMCG
                        


                                KES
                            
                            Confidential
                        





 

                            Easy Apply
                        






                        New
                        





                1 week ago
            



                        Job Summary
                    

                        Our client, a manufacturing company seeks to hire a meticulous and analytical Costing & Efficiency Manager. The ideal candidate will be responsible for ensuring efficien",2026-01-25T17:08:35.290157
